number,english,ipa,ru
94,Too,tuː,слишком; тоже
95,Down,daʊn,вниз
96,Simply,ˈsɪmpli,просто
97,Less,les,меньше
98,Beyond,bɪˈjɒnd,вне
99,Rather,ˈrɑːðə(r),довольно
100,Suddenly,ˈsʌdənli,вдруг
101,Obviously,ˈɒbviəsli,очевидно
102,Also,ˈɔːlsəʊ,тоже
103,Well,wel,хорошо
104,Soon,suːn,скоро
105,"Again,",əˈɡen | əˈɡeɪn,снова
106,Almost,ˈɔːlməʊst,почти
107,Always,ˈɔːlweɪz,всегда
108,Sometimes,ˈsʌmtaɪmz,иногда
109,Else,els,ещё
110,Enough,ɪˈnʌf,достаточно
111,Ever,ˈevər,когда-либо
112,Never,ˈnevər,никогда
113,Far,fɑː(r),далеко
114,Really,ˈriːəli,на самом деле
115,Ago,əˈɡəʊ,тому назад
116,Finally,ˈfaɪnəli,наконец
117,Instead,ɪnˈsted,вместо
118,Likely,ˈlaɪkli,вероятно
119,Maybe,ˈmeɪbi,возможно
120,Very,ˈveri,очень
121,Once,wʌns,однажды
122,All,ɔːl,всё
123,That,ðæt,"который, тот"
124,I,aɪ,я
125,Any,ˈeni,любой
126,It,ɪt,оно
127,He,hi,он
128,You,juː,ты
129,This,ðɪs,этот
130,My,maɪ,мой
131,Him,hɪm,его (знаю кого?)
132,Your,jɔː(r),твой
133,Some,sʌm,некоторый
134,Me,miː,"я, мне Местоимения"
135,"Our,",ˈaʊə(r) | ɑː(r),наш
136,Her,hɜː(r),её (знаю кого?) предметах)
137,These,ðiːz,эти
138,Us,ʌs,нас
139,Their,ðeə(r),их (чьё?)
140,She,ʃiː,она
141,We,wiː,мы
142,They,ðeɪ,они
143,"His,",hɪz | ɪz,его (чей?)
144,Its,ɪts,его (чей?) (о неодушевленных
145,Them,ðəm,их (кого?)
146,Who,huː,кто
147,Which,wɪtʃ,который
148,Someone,ˈsʌmwʌn,кто-то
149,Somebody,ˈsʌmbədi,кто-нибудь
150,Everything,ˈevriθɪŋ,"всё ААААААААААААА Так, потренируемся жаловаться на английском Времени достаточно, чтобы повторить с Машей наиболее часто употребляемые"
151,Man,mæn,"человек, мужчина"
152,Woman,ˈwʊmən,женщина
153,Time,taɪm,время
154,State,steɪt,"состояние; государство, штат"
155,"Year,",jɪə(r) | jɜː(r),год
156,People,ˈpiːpl,люди
157,Work,wɜːk,работа
158,Age,eɪdʒ,возраст
159,Day,deɪ,день
160,Name,neɪm,имя
161,Light,laɪt,свет
162,Information,ˌɪnfəˈmeɪʃn,информация
163,Education,ˌedʒuˈkeɪʃn,образование
164,Force,fɔːs,сила
165,Teacher,ˈtiːtʃə(r),учитель
166,Air,eə(r),воздух
167,Moment,ˈməʊmənt,момент
168,Guy,ɡaɪ,парень
169,Girl,ɡɜːl,"девочка, девушка"
170,"Research,",rɪˈsɜːtʃ | ˈriːsɜːtʃ,исследование
171,List,lɪst,список
172,Reason,ˈriːzn,причина
173,Morning,ˈmɔːnɪŋ,утро
174,Result,rɪˈzʌlt,результат
175,Party,ˈpɑːti,вечеринка
176,History,ˈhɪstri,история (наука)
177,Conflict,ˈkɒnflɪkt,конфликт
178,Art,ɑːt,искусство
179,Person,ˈpɜːsn,"человек, персона"
180,Health,helθ,здоровье
181,Window,ˈwɪndəʊ,окно
182,Door,dɔː(r),дверь
183,Office,ˈɒfɪs,офис
184,Level,ˈlevl,уровень
185,Face,feɪs,лицо
186,Parent,ˈpeərənt,родитель
187,Body,ˈbɒdi,тело
188,Kid,kɪd,ребёнок
189,Century,ˈsentʃəri,век
190,Evidence,ˈevɪdəns,доказательство
191,Chance,tʃɑːns,шанс
192,Period,ˈpɪəriəd,период
193,Future,ˈfjuːtʃə(r),будущее
194,Behaviour,bɪˈheɪvjə(r),поведение
195,Performance,pəˈfɔːməns,выступление
196,Blood,blʌd,кровь
197,Colour,ˈkʌlə(r),цвет
198,Idea,aɪˈdɪə,идея
199,Minute,ˈmɪnɪt,минута
200,Team,tiːm,команда
201,Comfort,ˈkʌmfət,комфорт
202,President,ˈprezɪdənt,президент
203,Eye,aɪ,глаз
204,Book,bʊk,книга
205,Month,mʌnθ,месяц
206,Number,ˈnʌmbə(r),номер
207,Store,stɔː(r),магазин
208,Movement,ˈmuːvmənt,движение
209,"Decade,",ˈdekeɪd | dɪˈkeɪd,десятилетие
210,Treatment,ˈtriːtmənt,"уход, отношение"
211,Dream,driːm,мечта
212,Middle,ˈmɪdl,середина
213,Trouble,ˈtrʌbl,"проблема, неприятность"
214,Pain,peɪn,боль
215,Peace,piːs,"мир, покой"
216,Fact,fækt,факт
217,Story,ˈstɔːri,рассказ
218,Money,ˈmʌni,деньги
219,Area,ˈeəriə,"место, зона"
220,Mother,ˈmʌðə(r),мать
221,"Room,",ruːm | rʊm,"комната, номер"
222,Water,ˈwɔːtə(r),вода
223,Home,həʊm,дом
224,Point,pɔɪnt,точка
225,Night,naɪt,ночь
226,Type,taɪp,тип
227,Nation,ˈneɪʃn,нация
228,Heart,hɑːt,сердце
229,Value,ˈvæljuː,"ценность, значение"
230,Report,rɪˈpɔːt,отчет
231,Government,ˈɡʌvənmənt,правительство
232,Question,ˈkwestʃən,вопрос
233,Way,weɪ,путь
234,System,ˈsɪstəm,система
235,Company,ˈkʌmpəni,компания
236,Case,keɪs,случай
237,Place,pleɪs,место
238,Hand,hænd,кисть руки
239,Country,ˈkʌntri,страна
240,Group,ɡruːp,группа
241,World,wɜːld,"мир, вселенная"
242,Life,laɪf,жизнь
243,Daughter,ˈdɔːtə(r),дочь
244,Son,sʌn,сын
245,Grandma,ˈɡrænmɑː,бабушка
246,Brother,ˈbrʌðə(r),брат
247,Sister,ˈsɪstə(r),сестра
248,Grandpa,ˈɡrænpɑː,дедушка
249,Dad,dæd,папа
250,Mum,mʌm,мама
251,Autumn,ˈɔːtəm,осень
252,Spring,sprɪŋ,весна
253,Winter,ˈwɪntə(r),зима
254,Summer,ˈsʌmə(r),лето
255,End,end,конец
256,Line,laɪn,очередь; линия
257,Power,ˈpaʊə(r),сила
258,Father,ˈfɑːðə(r),отец
259,Floor,ˈflɔː(r),пол (в здании); этаж
260,Stuff,stʌf,вещи
261,Range,reɪndʒ,"ряд, диапазон"
262,Weight,weɪt,вес
263,Service,ˈsɜːvɪs,"услуга, сервис"
264,House,haʊs,дом
265,Measure,ˈmeʒə(r),"мера, степень"
266,Head,hed,голова
267,Side,saɪd,"сторона Маша в аэропорту Ладно, пойду перекушу, времени Если хочется выпить по-английски, полезно"
268,Business,ˈbɪznəs,"бизнес, дело"
269,Pharmacy,ˈfɑːməsi,аптека
270,Lyrics,ˈlɪrɪks,текст песни
271,Verse,vɜːs,стих
272,Record,ˈrekɔːd,запись
273,Rhythm,ˈrɪðəm,ритм
274,Job,dʒɒb,"работа, занятие"
275,Order,ˈɔːdə(r),заказ
276,Genre,ˈʒɒnrə,жанр
277,Flat,flæt,квартира
278,Theory,ˈθɪəri,теория
279,Trainers,ˈtreɪnəz,"кроссовки, спортивная обувь"
280,Base,beɪs,база
281,Pack,pæk,упаковка
282,Bumbag,ˈbʌmbæɡ,поясная сумка
283,Trousers,ˈtraʊzəz,брюки
284,Eraser,ɪˈreɪzə(r),ластик
285,Box,bɒks,коробка
286,Knowledge,ˈnɒlɪdʒ,знание
287,Thing,θɪŋ,вещь
288,School,skuːl,школа
289,Problem,ˈprɒbləm,проблема
290,Student,ˈstjuːdnt,студент
291,Truth,truːθ,правда
292,Food,fuːd,еда
293,City,ˈsɪti,город
294,To sip,sɪp,потягивать (напиток)
295,To drink,drɪŋk,пить
296,Savoury,ˈseɪvəri,пикантный
297,Aperitif,əˌperəˈtiːf,аперитив
298,Beverage,ˈbevərɪdʒ,"напиток Надеюсь, до самолета всё готовят меня к конференции зайду-ка я в телеграм-канал про жизнь Ага, мемы про метро, кажется, регистрироваться онлайн, а не мемы Или хотя бы повторять популярные слова, которые"
299,Bitter,ˈbɪtə(r),горький
300,Acerb,əˈsɜːb,терпкий
301,Sourness,ˈsaʊənəs,кислинка
302,Tasting,ˈteɪstɪŋ,дегустация
303,Glass,ɡlɑːs,стакан
304,Flight,flaɪt,перелёт; рейс
305,To check in,tʃek ɪn,зарегистрироваться
306,To explore,ɪkˈsplɔː(r),исследовать
307,Boarding,ˈbɔːdɪŋ,посадка
308,Suitcase,ˈsuːtkeɪs,чемодан
309,Bag,bæɡ,сумка
310,Itinerary,aɪˈtɪnərəri,маршрут
311,To navigate,ˈnævɪɡeɪt,"ориентироваться, перемещаться"
312,"Vacation,",veɪˈkeɪʃn | vəˈkeɪʃn,отпуск
313,Wanderlust,ˈwɒndəlʌst,страсть
314,Driver,ˈdraɪvə(r),водитель
315,Accommodation,əˌkɒməˈdeɪʃn,"жильё, размещение"
316,Hotel,həʊˈtel,отель
317,Hostel,ˈhɒstl,"хостел, гостиница"
318,Airbnb,ˌeə biː en ˈbiː,сами знаете
319,Visa,ˈviːzə,виза
320,Passport control,ˌpɑːspɔːt kənˈtrəʊl,паспортный
321,Immigration,ˌɪmɪˈɡreɪʃn,иммиграция
322,Bus,bʌs,автобус
323,To take off,ˈteɪk ɒf,отправляться
324,Airport,ˈeəpɔːt,аэропорт
325,Terminal,ˈtɜːmɪnl,терминал
326,Ticket,ˈtɪkɪt,билет
327,Luggage,ˈlʌɡɪdʒ,багаж
328,Departure,dɪˈpɑːtʃə(r),отправление
329,Stopover,ˈstɒpəʊvə(r),остановка
330,Transit,ˈtrænzɪt,"транзит, прохождение"
331,Cruise,kruːz,круиз
332,Ship,ʃɪp,корабль
333,Ferry,ˈferi,паром
334,To rent,rent,арендовать
335,Uber,uːbə(r),и это вы знаете
336,To move,muːv,двигаться
337,To come,kʌm,идти
338,Underground,ˌʌndəˈɡraʊnd,метро к путешествиям
339,View,vjuː,вид
340,Bicycle,ˈbaɪsɪkl,велосипед
341,Sightseeing,ˈsaɪtsiːɪŋ,осмотр достопримечательностей
342,Landmark,ˈlændmɑːk,"ориентир, знак"
343,Museum,mjuˈziːəm,музей
344,Gallery,ˈɡæləri,галерея
345,Bank,bæŋk,банк
346,Building,ˈbɪldɪŋ,здание контроль
347,Beach,biːtʃ,пляж
348,Stop,stɒp,остановка
349,To request,rɪˈkwest,просить
350,To delay,dɪˈleɪ,задерживаться
351,To book,bʊk,бронировать
352,To land,lænd,приземляться
353,International,ˌɪntəˈnæʃnəl,международный
354,Transfer,ˈtrænsfɜː(r),пересадка
355,Reclaim,rɪˈkleɪm,выдача (багажа) налегке
356,To expect,ɪkˈspekt,ожидать (с рюкзаком)
357,"Tourist,",ˈtʊərɪst | ˈtɔːrɪst,турист
358,Passenger,ˈpæsɪndʒə(r),пассажир в палатке
359,Stairs,steəz,лестница
360,"Cinema,",ˈsɪnəmə | ˈsɪnəmɑː,кинотеатр
361,To wave,weɪv,махать
362,Gate,ɡeɪt,выход на посадку и завтраком
363,Train,treɪn,поезд
364,Exploration,ˌekspləˈreɪʃn,исследование
365,Mountain,ˈmaʊntən,гора парк
366,Hiking,ˈhaɪkɪŋ,пешие прогулки
367,Trekking,ˈtrekɪŋ,походы
368,Diving,ˈdaɪvɪŋ,дайвинг
369,Surfing,ˈsɜːfɪŋ,серфинг
370,Skiing,ˈskiːɪŋ,лыжный спорт
371,Wonderful,ˈwʌndəfl,замечательный
372,Cuisine,kwɪˈziːn,"кулинария, кухня"
373,Taxi,ˈtæksi,такси
374,Seat,siːt,место
375,Restaurant,ˈrestrɒnt,ресторан (как занятие)
376,Street food,ˈstriːt fuːd,уличная еда
377,Market,ˈmɑːkɪt,рынок
378,Shopping,ˈʃɒpɪŋ,шопинг
379,Souvenir,ˌsuːvəˈnɪə(r),сувенир
380,Currency,ˈkʌrənsi,валюта
381,Exchange,ɪksˈtʃeɪndʒ,обмен
382,ATM,ˌeɪ tiː ˈem,банкомат
383,Budget,ˈbʌdʒɪt,бюджет
384,Expense,ɪkˈspens,расходы
385,"Insurance,",ɪnˈʃʊərəns | ɪnˈʃɔːrəns,страховка
386,Safety,ˈseɪfti,безопасность
387,Vaccination,ˌvæksɪˈneɪʃn,вакцинация
388,Culture,ˈkʌltʃə(r),культура
389,Local,ˈləʊkl,местный
390,Guide,ɡaɪd,экскурсовод; гайд
391,Map,mæp,карта
392,GPS,ˌdʒiː piː ˈes,"GPS-навигатор крем Маша приземлилась Даже с гордостью Я сейчас такой скандал Жаль, что со мной нет Если вам тоже вдруг понадобится описать потерявшийся багаж (надеемся, что нет) или что-то ещё, запаситесь"
393,"Tour,",tʊə(r) | tɔː(r),тур
394,Package,ˈpækɪdʒ,посылка
395,Festival,ˈfestɪvl,фестиваль
396,Season,ˈsiːzn,сезон; время года
397,Climate,ˈklaɪmət,климат
398,Tropical,ˈtrɒpɪkl,тропический
399,Sunscreen,ˈsʌnskriːn,солнцезащитный
400,Backpacking,ˈbækpækɪŋ,путешествия
401,Camping,ˈkæmpɪŋ,кемпинг; отдых
402,Wildlife,ˈwaɪldlaɪf,дикая природа
403,Nature,ˈneɪtʃə(r),природа
404,Bed and [ˌbed ən,,гостиница
405,Adventure,ədˈventʃə(r),приключение
406,National park,ˈnæʃnəl ˈpɑːk,национальный
407,Heritage,ˈherɪtɪdʒ,наследие
408,To arrive,əˈraɪv,прибывать
409,Architecture,ˈɑːkɪtektʃə(r),архитектура
410,Ruins,ˈruːɪnz,руины
411,Temple,ˈtempl,храм
412,Church,tʃɜːtʃ,церковь
413,Mosque,mɒsk,мечеть
414,Monument,ˈmɒnjumənt,памятник
415,Photography,fəˈtɒɡrəfi,фотография
416,Memory,ˈmeməri,память
417,Experience,ɪkˈspɪəriəns,опыт
418,Escape,ɪˈskeɪp,побег
419,Customs,ˈkʌstəmz,таможня
420,Reservation,ˌrezəˈveɪʃn,бронирование
421,Shower,ˈʃaʊə(r),душ
422,Suite,swiːt,номер люкс
423,Key,kiː,ключ
424,Receipt,rɪˈsiːt,чек
425,Hairdryer,ˈheədraɪə(r),фен
426,"Battery,",ˈbætri | ˈbætəri,аккумулятор
427,Part,pɑːt,часть
428,Police,pəˈliːs,полиция
429,Station,ˈsteɪʃn,станция
430,Price,praɪs,цена
431,Resort,rɪˈzɔːt,курорт
432,Breakfast,ˈbrekfəst,завтрак
433,Air conditioner,ˈeə kəndɪʃənə(r),кондиционер
434,Bath,bɑːθ,ванна
435,Towel,ˈtaʊəl,полотенце
436,Tip,tɪp,чаевые
437,Cash,kæʃ,наличные
438,Rate,reɪt,"стоимость, курс валюты"
439,Electrical,ɪˈlektrɪkl,электрический
440,Successful,səkˈsesfl,успешный
441,Significant,sɪɡˈnɪfɪkənt,значительный
442,Former,ˈfɔːmə(r),бывший
443,Sick,sɪk,больной
444,Ready,ˈredi,готовый
445,Bored,bɔːd,скучающий
446,Traditional,trəˈdɪʃənl,традиционный
447,Medical,ˈmedɪkl,медицинский
448,"Financial,",faɪˈnænʃl | fəˈnænʃl,финансовый
449,Major,ˈmeɪdʒə(r),основной
450,Expensive,ɪkˈspensɪv,дорогой
451,Slow,sləʊ,медленный
452,Similar,ˈsɪmələ(r),похожий
453,Weird,wɪəd,странный
454,Good,ɡʊd,хороший
455,Curious,ˈkjʊəriəs,любопытный
456,Cool,kuːl,крутой
457,Additional,əˈdɪʃənl,дополнительный
458,Mental,ˈmentl,ментальный
459,Useful,ˈjuːsfl,полезный
460,Late,leɪt,поздний
461,Shocked,ʃɒkt,потрясённый
462,Excited,ɪkˈsaɪtɪd,"взволнованный, но в хорошем смысле"
463,Difficult,ˈdɪfɪkəlt,сложный
464,Fresh,freʃ,свежий
465,Different,ˈdɪfrənt,"другой, разный действительный"
466,Favourite,ˈfeɪvərɪt,любимый
467,Available,əˈveɪləbl,доступный
468,Possible,ˈpɒsəbl,возможный
469,Physical,ˈfɪzɪkl,физический
470,Casual,ˈkæʒuəl,повседневный
471,Happy,ˈhæpi,счастливый
472,Correct,kəˈrekt,правильный
473,Personal,ˈpɜːsənl,личный
474,Serious,ˈsɪəriəs,серьёзный
475,Visible,ˈvɪzəbl,видимый
476,Short,ʃɔːt,короткий
477,Right,raɪt,"правый, правильный"
478,Bad,bæd,плохой
479,Nice,naɪs,хороший
480,Large,lɑːdʒ,очень большой
481,Black,blæk,чёрный
482,White,waɪt,белый
483,Leather,ˈleðə(r),кожаный
484,Rare,reə(r),редкий
485,Wooden,ˈwʊdn,деревянный
486,Wide,waɪd,широкий
487,Warm,wɔːm,тёплый
488,Wrong,rɒŋ,неверный
489,Common,ˈkɒmən,общий
490,Sweet,swiːt,сладкий
491,Safe,seɪf,безопасный
492,Round,raʊnd,круглый
493,Rich,rɪtʃ,богатый
494,Natural,ˈnætʃrəl,натуральный
495,Red,red,красный
496,Quick,kwɪk,быстрый
497,Loud,laʊd,громкий
498,Lonely,ˈləʊnli,одинокий
499,Long,lɒŋ,"долгий, длинный"
500,"Poor,",pɔː(r) | pʊə(r),бедный
501,Heavy,ˈhevi,тяжёлый
502,Green,ɡriːn,зелёный
503,Full,fʊl,полный
504,Empty,ˈempti,пустой
505,Deep,diːp,глубокий
506,Cold,kəʊld,холодный
507,Lost,lɒst,потерянный
508,Brown,braʊn,коричневый
509,Blue,bluː,синий
510,Recent,ˈriːsnt,недавний
511,Actual,ˈæktʃuəl,"актуальный,"
512,Strong,strɒŋ,сильный
513,Basic,ˈbeɪsɪk,базовый
514,Important,ɪmˈpɔːtnt,важный
515,Serious,ˈsɪəriəs,серьёзный
516,Known,nəʊn,известный
517,Huge,hjuːdʒ,огромный
518,Decent,ˈdiːsnt,приличный
519,Fun,fʌn,веселый
520,United,juˈnaɪtɪd,объединённый
521,Several,ˈsevrəl,некоторый
522,Certain,ˈsɜːtn,определённый
523,Necessary,ˈnesəsəri,необходимый
524,Best,best,лучший
525,Particular,pəˈtɪkjələ(r),конкретный
526,Entire,ɪnˈtaɪə(r),целый
527,Various,ˈveəriəs,разнообразный
528,Ugly,ˈʌɡli,уродливый
529,Accurate,ˈækjərət,точный
530,Great,ɡreɪt,отличный
531,Beautiful,ˈbjuːtɪfl,красивый
532,Small,smɔːl,маленький
533,Dark,dɑːk,темный
534,Calm,kɑːm,спокойный
535,Relevant,ˈreləvənt,"соответствующий, уместный"
536,Surprised,səˈpraɪzd,удивлённый
537,Impossible,ɪmˈpɒsəbl,невозможный
538,Freezing,ˈfriːzɪŋ,ледяной
539,Warming,ˈwɔːmɪŋ,согревающий
540,Other,ˈʌðə(r),другой
541,Many,ˈmeni,многий
542,Same,seɪm,"такой же, аналогичный"
543,New,njuː,новый
544,First,fɜːst,первый
545,Last,lɑːst,"последний при покупке обучения Определим ваш текущий уровень языка Покажем, как проходят уроки, как выбрать преподавателя и настроить расписание Подберём курсы под ваши интересы и цели Маша приехала в отель Только почему-то я вижу Пойду в душ, смою с себя Ладно, зато здесь есть одна Посижу в Тиндере и подожду, Гарри, конечно, Маша могла бы быть и красноречивее по отношению к англичанину, даже с минимальным словарным"
546,Little,ˈlɪtl,маленький
547,Own,əʊn,собственный
548,Old,əʊld,старый
549,Big,bɪɡ,большой
550,Next,nekst,следующий
551,Young,jʌŋ,молодой
552,Public,ˈpʌblɪk,общественный
553,Bright,braɪt,яркий
554,Fast,fɑːst,быстрый
555,Easy,ˈiːzi,лёгкий
556,Busy,ˈbɪzi,занятой
557,Dangerous,ˈdeɪndʒərəs,опасный
558,Clean,kliːn,чистый
559,Quiet,ˈkwaɪət,тихий
560,Charming,ˈtʃɑːmɪŋ,очаровательный
561,Confident,ˈkɒnfɪdənt,уверенный
562,Willing,ˈwɪlɪŋ,желающий что-то сделать
563,Helpful,ˈhelpfl,отзывчивый
564,Terrible,ˈterəbl,ужасный
565,"Interesting,",ˈɪntrəstɪŋ | ˈɪntrestɪŋ,интересный
566,Responsible,rɪˈspɒnsəbl,ответственный
567,Pregnant,ˈpreɡnənt,беременный
568,Healthy,ˈhelθi,здоровый
569,Political,pəˈlɪtɪkl,политически активный
570,Emotional,ɪˈməʊʃənl,эмоциональный
571,Scared,skeəd,испуганный
572,Mad,mæd,"сумасшедший Маша идет на свидание Так, его зовут не Джон и даже Окей, с айтишником, путешественником Кто откажется поездить здесь не для того, чтобы обсуждать мой В кафе все пошло намного О нет, только разговоров о бывших мне Такими темпами скоро он спросит, легко учатся в нашем бесплатном мобильном подборка самых популярных слов для свиданий"
573,Sad,sæd,грустный
574,Smart,smɑːt,умный
575,Aware,əˈweə(r),осведомлённый
576,Desperate,ˈdespərət,отчаянный
577,Critical,ˈkrɪtɪkl,критичный
578,Cute,kjuːt,милый
579,Competitive,kəmˈpetətɪv,конкурентный
580,Kind,kaɪnd,добрый
581,Capable,ˈkeɪpəbl,способный
582,Sexy,ˈseksi,сексуальный
583,Crazy,ˈkreɪzi,сумасшедший
584,To flirt,flɜːt,флиртовать
585,Date,deɪt,свидание; встречаться
586,To swipe,swaɪp,"провести пальцем (например, вправо в Тиндере)"
587,To hang out,ˈhæŋ aʊt,"тусоваться, проводить время"
588,To ghost,ɡəʊst,резко прекращать общение
589,To hook up with,ˈhʊk ʌp wɪð,замутить с кем-то
590,Match,mætʃ,совпадение
591,To text,tekst,написать сообщение
592,DM,ˌdiː ˈem,личное сообщение
593,Profile,ˈprəʊfaɪl,"профиль (например, в соцсети)"
594,Traveller,ˈtrævələ(r),путешественник
595,Music,ˈmjuːzɪk,музыка
596,Road,rəʊd,дорога
597,Sport,ˈspɔːt,спорт
598,Game,ɡeɪm,игра
599,Film,fɪlm,фильм
600,Beauty,ˈbjuːti,красотка
601,Foodie,ˈfuːdi,гурман
602,Rich,rɪtʃ,богатый
603,Fashion,ˈfæʃn,мода
604,Style,staɪl,стиль
605,Tattoo,təˈtuː,татуировка
606,Piercing,ˈpɪəsɪŋ,пирсинг
607,Band,bænd,группа
608,Vegan,ˈviːɡən,веган рающий
609,Meat,miːt,мясо
610,Dessert,dɪˈzɜːt,десерт
611,Coffee,ˈkɒfi,кофе
612,Beer,bɪə(r),пиво
613,Drama,ˈdrɑːmə,драма
614,Shot,ʃɒt,шот
615,Drunk,drʌŋk,выпивший
616,High,haɪ,высокий
617,To smoke,sməʊk,курить
618,Road trip,ˈrəʊd trɪp,автопутешествие
619,Workout,ˈwɜːkaʊt,тренировка
620,Cafe,ˈkæfeɪ,кафе
621,Mood,muːd,настроение
622,Laugh,lɑːf,смех
623,Joke,dʒəʊk,шутка
624,Sense,sens,чувство
625,Sarcastic,sɑːˈkæstɪk,саркастический
626,Irony,ˈaɪrəni,ирония
627,To tease,tiːz,дразнить
628,To fight,faɪt,"ссориться, драться"
629,To argue,ˈɑːɡjuː,спорить
630,To lie,laɪ,лгать
631,Ex,eks,бывший
632,To cheat,tʃiːt,изменять
633,Anniversary,ˌænɪˈvɜːsəri,годовщина
634,To break up,ˈbreɪk ʌp,расстаться
635,Heartbreaking,ˈhɑːtbreɪkɪŋ,душеразди-
636,Friends,frendz,друзья
637,Relationship,rɪˈleɪʃnʃɪp,отношения
638,Single,ˈsɪŋɡl,"один, без пары"
639,Romantic,rəʊˈmæntɪk,романтический
640,Weekend,ˌwiːkˈend,выходные
641,Concert,ˈkɒnsət,концерт
642,TV series,ˌtiː ˈviː ˈsɪəriːz,сериал
643,Children,ˈtʃɪldrən,дети (в формальном
644,Friendship,ˈfrendʃɪp,дружба
645,Married,ˈmærid,замужем/женат
646,Kids,kɪdz,дети (в неформальном
647,Cat,kæt,кошка
648,Dog,dɒɡ,собака
649,Dancing,ˈdɑːnsɪŋ,танцы
650,To have a crush on,krʌʃ,влюбиться
651,Family,ˈfæməli,семья
652,Early,ˈɜːli,ранний
653,Bed,bed,кровать
654,Apartment,əˈpɑːtmənt,"квартира, апартаменты"
655,Ride,raɪd,поездка
